"","X","Institution","Specimen.ID","Specimen.sex","Collection.date..Julian.date.","Collection.year","dDFur","Source","Species","InstitutionCode","specID","key","scientificName","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","individualCount","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","continent","stateProvince","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","class","countryCode","country","recordNumber","identifier","higherGeography","institutionID","verbatimEventDate","endDayOfYear","locality","datasetName","collectionCode","gbifID","occurrenceID","type","preparations","catalogNumber","recordedBy","institutionCode","startDayOfYear","occurrenceRemarks","higherClassification","name","sex","county","elevation","habitat","lifeStage","decimalLatitude","decimalLongitude","modified","geodeticDatum","rightsHolder","georeferencedBy","georeferenceProtocol","language","verbatimLocality","locationRemarks","accessRights","collectionID","georeferenceSources","georeferencedDate","coordinateUncertaintyInMeters","reproductiveCondition","establishmentMeans","references","nomenclaturalCode","occurrenceStatus","bibliographicCitation","georeferenceVerificationStatus","fieldNumber","organismID","ownerInstitutionCode","datasetID","ADDRESS","lon","lat","address"
"1",1,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM155572","unknown",227,1891,-48,"Fraser","Lasionycteris noctivagans","USNM",155572,1318571751,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:39.702+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Wisconsin",1891,8,15,"1891-08-15T00:00:00","2020-02-13T22:08:39.702+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","1350","http://n2t.net/ark:/65665/33c906c9f-5b12-435c-a8e4-5a5806e91a76","North America, United States, Wisconsin","http://biocol.org/urn:lsid:biocol.org:col:34871","15 Aug 1891",227,"Camp Douglas","NMNH Extant Biology","Mammals",1318571751,"http://n2t.net/ark:/65665/33c906c9f-5b12-435c-a8e4-5a5806e91a76","PhysicalObject","Skin",155572,"E. Mearns","USNM",227,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Camp Douglas, Wisconsin, US",-90.2715192,43.9224669,"camp douglas, wi, usa"
"2",2,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM267304","unknown",292,1937,-62,"Fraser","Lasionycteris noctivagans","USNM",267304,1320530492,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:27.655+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","District of Columbia",1937,10,19,"1937-10-19T00:00:00","2020-02-13T22:08:27.655+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","148083","http://n2t.net/ark:/65665/39334c8cb-349a-4af9-9725-5a372ae02366","North America, United States, District of Columbia","http://biocol.org/urn:lsid:biocol.org:col:34871","19 Oct 1937",292,"Washington Monument","NMNH Extant Biology","Mammals",1320530492,"http://n2t.net/ark:/65665/39334c8cb-349a-4af9-9725-5a372ae02366","PhysicalObject","Skin; Skull",267304,"A. Mcintosh","USNM",292,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington Monument, District of Columbia, US",-77.0352791,38.8894838,"2 15th st nw, washington, dc 20024, usa"
"3",3,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM147924","male",279,1906,-78,"Fraser","Lasionycteris noctivagans","USNM",147924,1319103877,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:42.475+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Maryland",1906,10,6,"1906-10-06T00:00:00","2020-02-13T22:08:42.475+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","2422","http://n2t.net/ark:/65665/35418de6d-a7dc-4c6d-b295-d3a9c6f41166","North America, United States, Maryland, Montgomery County","http://biocol.org/urn:lsid:biocol.org:col:34871","6 Oct 1906",279,"Plummer Island","NMNH Extant Biology","Mammals",1319103877,"http://n2t.net/ark:/65665/35418de6d-a7dc-4c6d-b295-d3a9c6f41166","PhysicalObject","Skin; Skull",147924,"A. Fisher","USNM",279,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE","Montgomery County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plummer Island, Montgomery County  County, Maryland, US",-77.1763687,38.9695547,"plummers island, cabin john, md 20818, usa"
"4",4,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM178454","male",102,1912,-54,"Fraser","Lasionycteris noctivagans","USNM",178454,1322280631,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:58.913+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Alabama",1912,4,11,"1912-04-11T00:00:00","2020-02-13T22:08:58.913+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","1991","http://n2t.net/ark:/65665/3e0a6ecde-f24b-4fcb-861b-95a6c4da9ae7","North America, United States, Alabama","http://biocol.org/urn:lsid:biocol.org:col:34871","11 Apr 1912",102,"Squaw Shoals, Warrior River","NMNH Extant Biology","Mammals",1322280631,"http://n2t.net/ark:/65665/3e0a6ecde-f24b-4fcb-861b-95a6c4da9ae7","PhysicalObject","Skin; Skull",178454,"A. Howell","USNM",102,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.464000, -87.351389",-87.3590692,33.4627707,"19206 co rd 38, northport, al 35475, usa"
"5",5,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM178455","male",108,1912,-74,"Fraser","Lasionycteris noctivagans","USNM",178455,1321568126,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:27.504+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Alabama",1912,4,17,"1912-04-17T00:00:00","2020-02-13T22:08:27.504+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","2003","http://n2t.net/ark:/65665/3c1106111-dcd7-41f2-8deb-3f4c291fbbfb","North America, United States, Alabama","http://biocol.org/urn:lsid:biocol.org:col:34871","17 Apr 1912",108,"Ataugaville","NMNH Extant Biology","Mammals",1321568126,"http://n2t.net/ark:/65665/3c1106111-dcd7-41f2-8deb-3f4c291fbbfb","PhysicalObject","Skin; Skull",178455,"A. Howell","USNM",108,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ataugaville, Alabama, US",-86.6547019,32.4340249,"autaugaville, al, usa"
"6",6,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM178456","male",108,1912,-42,"Fraser","Lasionycteris noctivagans","USNM",178456,1318780340,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:39.807+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Alabama",1912,4,17,"1912-04-17T00:00:00","2020-02-13T22:08:39.807+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","2004","http://n2t.net/ark:/65665/345c4dce5-449b-4b0b-baaa-dd75680d3006","North America, United States, Alabama","http://biocol.org/urn:lsid:biocol.org:col:34871","17 Apr 1912",108,"Ataugaville","NMNH Extant Biology","Mammals",1318780340,"http://n2t.net/ark:/65665/345c4dce5-449b-4b0b-baaa-dd75680d3006","PhysicalObject","Skin; Skull",178456,"A. Howell","USNM",108,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ataugaville, Alabama, US",-86.6547019,32.4340249,"autaugaville, al, usa"
"7",7,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM204428","male",203,1914,-65,"Fraser","Lasionycteris noctivagans","USNM",204428,1318815049,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:24.477+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Oregon",1914,7,22,"1914-07-22T00:00:00","2020-02-13T22:08:24.477+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","1626","http://n2t.net/ark:/65665/3474bb07f-2fbb-4f93-b502-f8229778dc77","North America, United States, Oregon","http://biocol.org/urn:lsid:biocol.org:col:34871","22 Jul 1914",203,"Sisters","NMNH Extant Biology","Mammals",1318815049,"http://n2t.net/ark:/65665/3474bb07f-2fbb-4f93-b502-f8229778dc77","PhysicalObject","Skin; Skull",204428,"L. Goldman","USNM",203,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sisters, Oregon, US",-121.5492119,44.2909491,"sisters, or 97759, usa"
"8",8,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM204429","male",204,1914,-73,"Fraser","Lasionycteris noctivagans","USNM",204429,1318930007,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:24.954+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Oregon",1914,7,23,"1914-07-23T00:00:00","2020-02-13T22:08:24.954+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","1643","http://n2t.net/ark:/65665/34c66ae9c-5b99-4f85-a200-12a5a743513a","North America, United States, Oregon","http://biocol.org/urn:lsid:biocol.org:col:34871","23 Jul 1914",204,"Sisters","NMNH Extant Biology","Mammals",1318930007,"http://n2t.net/ark:/65665/34c66ae9c-5b99-4f85-a200-12a5a743513a","PhysicalObject","Skin; Skull",204429,"L. Goldman","USNM",204,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sisters, Oregon, US",-121.5492119,44.2909491,"sisters, or 97759, usa"
"9",9,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM212049","male",147,1916,-50,"Fraser","Lasionycteris noctivagans","USNM",212049,1318836363,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:25.396+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Georgia",1916,5,26,"1916-05-26T00:00:00","2020-02-13T22:08:25.396+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","319","http://n2t.net/ark:/65665/34842a18b-10e8-4dc4-aeb9-a24a6cceba6b","North America, United States, Georgia","http://biocol.org/urn:lsid:biocol.org:col:34871","26 May 1916",147,"Toccoa, 3 Mi N","NMNH Extant Biology","Mammals",1318836363,"http://n2t.net/ark:/65665/34842a18b-10e8-4dc4-aeb9-a24a6cceba6b","PhysicalObject","Skin; Skull",212049,"J. Peters","USNM",147,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE",NA,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toccoa, Georgia, US",-83.3323851,34.5773206,"toccoa, ga, usa"
"10",10,"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)","USNM216065","male",235,1916,-99,"Fraser","Lasionycteris noctivagans","USNM",216065,1319971735,"Lasionycteris noctivagans (Le Conte, 1831)",NA,"821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2020-02-13T20:47:16.281+0000","2020-02-13T22:08:49.142+0000",135,"none","PRESERVED_SPECIMEN",1,2432341,1,44,359,734,9368,2432340,2432341,2432341,"Lasionycteris noctivagans (Le Conte, 1831)","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasionycteris","Lasionycteris noctivagans","Lasionycteris","noctivagans","SPECIES","ACCEPTED","NORTH_AMERICA","Oregon",1916,8,22,"1916-08-22T00:00:00","2020-02-13T22:08:49.142+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","Mammalia","US","United States of America","404","http://n2t.net/ark:/65665/37a82705a-4af4-417d-be4d-4dac57067687","North America, United States, Oregon","http://biocol.org/urn:lsid:biocol.org:col:34871","22 Aug 1916",235,"Keiger Gorge, Steen Mountains","NMNH Extant Biology","Mammals",1319971735,"http://n2t.net/ark:/65665/37a82705a-4af4-417d-be4d-4dac57067687","PhysicalObject","Skin; Skull",216065,"R. Becker","USNM",235,"Item was destructively sampled for isotopic analysis. Tissue and/or parts were sent to Erin Fraser, Western University - Biological and Geological Sciences Building, on 25 Jun 2013. For reference, see Transaction No. 2064659","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Chiroptera, Vespertilionidae, Myotinae","Lasionycteris noctivagans (Le Conte, 1831)","MALE",NA,1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kiger Gorge, OR",-118.5538021,42.8243297,"kiger gorge, oregon 97722, usa"
