"","source_ID","Species","Sex","Age","Lat","Lon","Day","Month","Year","d2H","sampling_method","uncertainty","Sourcefile"
"1","146","LABO","M","J",39.7,-78.5,30,8,2013,-49.31,"MIST_NET",NA,"Campbell"
"2","147","LABO","F","A",39.7,-78.5,30,8,2013,-43.35,"MIST_NET",NA,"Campbell"
"3","148","LABO","M","J",39.7,-78.5,30,8,2013,-43.85,"MIST_NET",NA,"Campbell"
"4","149","LABO","M","J",39.7,-78.5,30,8,2013,-38.96,"MIST_NET",NA,"Campbell"
"5","150","LABO","F","A",39.7,-78.5,30,8,2013,-34.95,"MIST_NET",NA,"Campbell"
"6","151","LABO","M","A",39.7,-78.5,30,8,2013,-29.61,"MIST_NET",NA,"Campbell"
"7","152","LABO","F","J",39.7,-78.5,13,9,2013,-44.22,"MIST_NET",NA,"Campbell"
"8","153","LACI","F","A",39.7,-78.5,13,9,2013,-64,"MIST_NET",NA,"Campbell"
"9","154","LABO","M","A",39.7,-78.3,17,9,2013,-66.36,"MIST_NET",NA,"Campbell"
"10","155","LABO","M","A",39.7,-78.5,20,9,2013,-44.26,"MIST_NET",NA,"Campbell"
"11","156","LABO","M","A",39.7,-78.5,25,9,2013,-51.92,"MIST_NET",NA,"Campbell"
"12","157","LABO","M","A",39.7,-78.5,25,9,2013,-39.16,"MIST_NET",NA,"Campbell"
"13","158","LABO","M","A",39.7,-78.3,2,10,2013,-23.14,"MIST_NET",NA,"Campbell"
"14","159","LABO","F","A",39.7,-78.3,2,10,2013,-23.84,"MIST_NET",NA,"Campbell"
"15","160","LABO","F","A",39.7,-78.3,2,10,2013,-18.8,"MIST_NET",NA,"Campbell"
"16","161","LABO","M","A",39.7,-78.5,4,10,2013,-21.2,"MIST_NET",NA,"Campbell"
"17","162","LABO","M","A",39.7,-78.5,4,10,2013,-26.28,"MIST_NET",NA,"Campbell"
"18","163","LABO","F","A",39.7,-78.5,4,10,2013,-5.87,"MIST_NET",NA,"Campbell"
"19","164","LABO","F","A",39.7,-78.5,4,10,2013,-13.75,"MIST_NET",NA,"Campbell"
"20","165","LABO","M","J",39.2,-76.2,8,10,2013,-21.96,"MIST_NET",NA,"Campbell"
"21","166","LABO","M","A",39.7,-78.5,25,5,2014,-38.63,"MIST_NET",NA,"Campbell"
