Species,location,date,age,sex,dD,dN,dC,dDprecip,ID,Source,month,day,year
Lasionycteris noctivagans,Summerview,12-Sep-06,a,f,-211.41,7.29,-24.97,-139.490302,S1,Baerwald,9,12,2006
Lasionycteris noctivagans,Summerview,2-Aug-07,a,f,-209.98,9.92,-26.02,-138.529056,S2,Baerwald,8,2,2007
Lasionycteris noctivagans,Summerview,29-Aug-07,a,f,-196.56,6.1,-24.43,-129.508132,S3,Baerwald,8,29,2007
Lasionycteris noctivagans,Summerview,14-Aug-06,a,f,-188.53,11.2,-24.07,-124.110366,S4,Baerwald,8,14,2006
Lasionycteris noctivagans,Summerview,3-Sep-06,a,f,-182.89,6.84,-25.71,-120.319158,S5,Baerwald,9,3,2006
Lasionycteris noctivagans,Summerview,25-Aug-06,a,f,-179.8,9.95,-25.18,-118.24206,S6,Baerwald,8,25,2006
Lasionycteris noctivagans,Summerview,14-Aug-06,a,f,-160.38,9.18,-24.7,-105.187936,S7,Baerwald,8,14,2006
Lasionycteris noctivagans,Summerview,19-Aug-06,a,f,-155.34,11.14,-24.17,-101.800048,S8,Baerwald,8,19,2006
Lasionycteris noctivagans,Summerview,12-Sep-06,a,f,-149.48,9.19,-25.15,-97.860956,S9,Baerwald,9,12,2006
Lasionycteris noctivagans,Summerview,13-Sep-06,a,f,-143.7,6.53,-25.31,-93.97564,S10,Baerwald,9,13,2006
Lasionycteris noctivagans,Summerview,23-Aug-07,a,f,-140.96,6.12,-24.03,-92.133812,S11,Baerwald,8,23,2007
Lasionycteris noctivagans,Summerview,14-Aug-06,a,f,-139.58,12.18,-24.55,-91.206176,S12,Baerwald,8,14,2006
Lasionycteris noctivagans,Summerview,3-Sep-06,a,f,-129.78,9.07,-26.13,-84.618616,S13,Baerwald,9,3,2006
Lasionycteris noctivagans,Summerview,22-Aug-07,a,f,-129.1,8.58,-25.4,-84.16152,S14,Baerwald,8,22,2007
Lasionycteris noctivagans,Summerview,25-Aug-07,a,f,-128.09,7.71,-24.05,-83.482598,S15,Baerwald,8,25,2007
Lasionycteris noctivagans,Summerview,1-Sep-07,a,f,-126.52,9.24,-25.35,-82.427244,S16,Baerwald,9,1,2007
Lasionycteris noctivagans,Summerview,25-Sep-06,a,f,-126.38,7.45,-24.84,-82.333136,S17,Baerwald,9,25,2006
Lasionycteris noctivagans,Summerview,30-Aug-07,a,f,-124.76,9.44,-24.93,-81.244172,S18,Baerwald,8,30,2007
Lasionycteris noctivagans,Summerview,27-Aug-06,a,f,-123.62,7.83,-25.64,-80.477864,S19,Baerwald,8,27,2006
Lasionycteris noctivagans,Summerview,25-Aug-06,a,f,-123.62,9.63,-24.24,-80.477864,S20,Baerwald,8,25,2006
Lasionycteris noctivagans,Summerview,29-Aug-06,a,f,-122.65,8.69,-24.75,-79.82583,S21,Baerwald,8,29,2006
Lasionycteris noctivagans,Summerview,15-Aug-06,a,f,-121.02,8.97,-24.86,-78.730144,S22,Baerwald,8,15,2006
Lasionycteris noctivagans,Summerview,25-Sep-06,a,f,-120.22,7.15,-24.57,-78.192384,S23,Baerwald,9,25,2006
Lasionycteris noctivagans,Summerview,12-Aug-06,a,f,-118.18,9.54,-24.85,-76.821096,S24,Baerwald,8,12,2006
Lasionycteris noctivagans,Summerview,11-Aug-07,a,f,-118.1,7.66,-24.68,-76.76732,S25,Baerwald,8,11,2007
Lasionycteris noctivagans,Summerview,18-Sep-06,a,f,-117.89,7.73,-25.5,-76.626158,S26,Baerwald,9,18,2006
Lasionycteris noctivagans,Summerview,20-Aug-07,a,f,-117.78,8.56,-25.54,-76.552216,S27,Baerwald,8,20,2007
Lasionycteris noctivagans,Summerview,9-Sep-06,a,f,-116.37,7.06,-27.91,-75.604414,S28,Baerwald,9,9,2006
Lasionycteris noctivagans,Summerview,18-Sep-06,a,f,-115.49,8.46,-24.54,-75.012878,S29,Baerwald,9,18,2006
Lasionycteris noctivagans,Summerview,12-Sep-06,a,f,-115.17,7.46,-27.3,-74.797774,S30,Baerwald,9,12,2006
Lasionycteris noctivagans,Summerview,25-Aug-06,a,f,-114.18,8.74,-25.94,-74.132296,S31,Baerwald,8,25,2006
Lasionycteris noctivagans,Summerview,28-Aug-07,a,f,-114.08,8.92,-25.23,-74.065076,S32,Baerwald,8,28,2007
Lasionycteris noctivagans,Summerview,12-Aug-07,a,f,-113.75,9.42,-25.1,-73.84325,S33,Baerwald,8,12,2007
Lasionycteris noctivagans,Summerview,31-Aug-07,a,f,-113.08,7.05,-25.9,-73.392876,S34,Baerwald,8,31,2007
Lasionycteris noctivagans,Summerview,16-Aug-06,a,f,-112.5,10.82,-24.07,-73.003,S35,Baerwald,8,16,2006
Lasionycteris noctivagans,Summerview,11-Sep-06,a,f,-107.95,7.7,-24.99,-69.94449,S36,Baerwald,9,11,2006
Lasionycteris noctivagans,Summerview,8-Sep-06,a,f,-107.73,9.42,-25.82,-69.796606,S37,Baerwald,9,8,2006
Lasionycteris noctivagans,Summerview,12-Aug-07,a,f,-77.19,9.03,-24.23,-49.267618,S38,Baerwald,8,12,2007
Lasionycteris noctivagans,Summerview,13-Sep-06,a,m,-244.54,7.24,-26.2,-161.760288,S39,Baerwald,9,13,2006
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-171.99,7.16,-25.82,-112.992178,S40,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,24-Aug-06,a,m,-170.47,7.5,-25.58,-111.970434,S41,Baerwald,8,24,2006
Lasionycteris noctivagans,Summerview,15-Aug-06,a,m,-143.93,7.59,-24.41,-94.130246,S42,Baerwald,8,15,2006
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-141.02,6.9,-25.15,-92.174144,S43,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,15-Aug-06,a,m,-139,9.06,-24.32,-90.8163,S44,Baerwald,8,15,2006
Lasionycteris noctivagans,Summerview,31-Aug-06,a,m,-136.69,7.61,-26.05,-89.263518,S45,Baerwald,8,31,2006
Lasionycteris noctivagans,Summerview,31-Jul-07,a,m,-131.53,6.17,-25.15,-85.794966,S46,Baerwald,7,31,2007
Lasionycteris noctivagans,Summerview,1-Sep-07,a,m,-130.74,6.21,-24.95,-85.263928,S47,Baerwald,9,1,2007
Lasionycteris noctivagans,Summerview,24-Aug-06,a,m,-127.09,9,-24.4,-82.810398,S48,Baerwald,8,24,2006
Lasionycteris noctivagans,Summerview,29-Aug-06,a,m,-124.68,7.79,-24.93,-81.190396,S49,Baerwald,8,29,2006
Lasionycteris noctivagans,Summerview,16-Aug-06,a,m,-124.63,7.1,-25.06,-81.156786,S50,Baerwald,8,16,2006
Lasionycteris noctivagans,Summerview,9-Sep-06,a,m,-124.6,8.8,-25.45,-81.13662,S51,Baerwald,9,9,2006
Lasionycteris noctivagans,Summerview,28-Aug-07,a,m,-121.44,7.7,-26.57,-79.012468,S52,Baerwald,8,28,2007
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-120.08,7.55,-24.9,-78.098276,S53,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,19-Sep-06,a,m,-119.12,7.82,-24.52,-77.452964,S54,Baerwald,9,19,2006
Lasionycteris noctivagans,Summerview,2-Sep-06,a,m,-116.77,7.3,-24.67,-75.873294,S55,Baerwald,9,2,2006
Lasionycteris noctivagans,Summerview,22-Aug-07,a,m,-116.5,8.94,-24.37,-75.6918,S56,Baerwald,8,22,2007
