Institution,Specimen ID,Specimen sex,Collection date (Julian date),Collection year,dDFur,Source,Species
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM155572,unknown,227,1891,-48,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM267304,unknown,292,1937,-62,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM147924,male,279,1906,-78,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM178454,male,102,1912,-54,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM178455,male,108,1912,-74,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM178456,male,108,1912,-42,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM204428,male,203,1914,-65,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM204429,male,204,1914,-73,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM212049,male,147,1916,-50,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM216065,male,235,1916,-99,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM248261,male,121,1928,-78,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM249302,male,4,1930,-61,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM251426,male,356,1933,-60,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM251427,male,356,1933,-73,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM254297,male,267,1894,-121,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM264724,male,68,1939,-68,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM271224,male,278,1943,-83,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM271333,male,31,1944,-48,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM344970,male,354,1951,-63,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM448242,male,76,1984,-75,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM448243,male,76,1984,-75,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM54094,male,160,1893,-55,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM555633,male,320,1980,-111,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM568097,male,242,1996,-81,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM63001,male,246,1895,-71,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM94341,male,154,1897,-114,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM125364,female,134,1903,-79,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM169220,female,170,1910,-115,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM178453,female,102,1912,-73,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM187528,female,214,1884,-78,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM187578,female,108,1886,-66,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM207449,female,162,1915,-102,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM226405,female,181,1917,-80,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM238136,female,4,1922,-68,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM248262,female,123,1928,-75,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM249364,female,290,1918,-67,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM254298,female,275,1899,-60,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM256494,female,241,1931,-71,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM265026,female,111,1939,-73,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM293331,female,291,1941,-80,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM448241,female,43,1984,-75,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM505470,female,10,1971,-80,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM543066,female,342,1981,-76,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM554340,female,124,1968,-44,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM567583,female,317,1943,-82,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM568099,female,249,1985,-110,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM570150,female,334,2007,-56,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM570485,female,105,2008,-80,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM67720,female,225,1894,-77,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM67721,female,225,1894,-68,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM80765,female,238,1896,-97,Fraser,LANO
"Smithsonian National Museum of Natural History (NMNH, specimens identified as USNM)",USNM82724,female,247,1890,-94,Fraser,LANO
Royal Ontario Museum (ROM),ROM17932,unknown,242,1916,-74,Fraser,LANO
Royal Ontario Museum (ROM),ROM3202290014,unknown,230,1931,-97,Fraser,LANO
Royal Ontario Museum (ROM),ROM3306200985,unknown,222,1908,-75,Fraser,LANO
Royal Ontario Museum (ROM),ROM3306200988,unknown,222,1908,-87,Fraser,LANO
Royal Ontario Museum (ROM),ROM10938,male,242,1937,-89,Fraser,LANO
Royal Ontario Museum (ROM),ROM13622,male,215,1939,-90,Fraser,LANO
Royal Ontario Museum (ROM),ROM13624,male,223,1939,-93,Fraser,LANO
Royal Ontario Museum (ROM),ROM16114,male,257,1943,-95,Fraser,LANO
Royal Ontario Museum (ROM),ROM17934,male,192,1890,-84,Fraser,LANO
