Provider,Site,Site ID,Box,Placement,use this to sort,Species,Year,ID_CP,Age,Sex,RC,dD,Source
WV DNR,Mt Storm,MTSTORM_WV,4,B3,323,ERBA,2010,051710_ERBA_T209_1,U,U,U,-76.16,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B14,435,ERBA,2011,081311_ERBA_T39_1,A,F,U,-62.58,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,-,-,,ERBA,2011,060411_ERBA_T34_1,U,M,U,-61.84,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,D8,469,ERBA,2011,081711_ERBA_T38_1,A,F,U,-61.34,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B13,434,ERBA,2011,081211_ERBA_T44_4,A,M,U,-60.95,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B4,425,ERBA,2011,073111_ERBA_T46_2,A,M,U,-60.93,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E20,300,ERBA,2010,081110_ERBA_T215_1,A,F,U,-60.79,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E3,384,ERBA,2011,071811_ERBA_T39_1,A,M,U,-60.68,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B12,433,ERBA,2011,072511_ERBA_T46_1,A,M,U,-60.52,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E2,383,ERBA,2011,072711_ERBA_T27_1,A,F,U,-60.32,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B1,422,ERBA,2011,073111_ERBA_T39_2,A,M,U,-60.11,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B12,332,ERBA,2009,072309_ERBA_T14_1,A,M,U,-59.98,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A2,403,ERBA,2011,080111_ERBA_T45_1,A,M,U,-59.75,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A20,421,ERBA,2011,073111_ERBA_T43_2,A,M,U,-59.65,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A17,418,ERBA,2011,072511_ERBA_T46_2,A,M,U,-59.5,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A10,411,ERBA,2011,080111_ERBA_T46_1,A,M,U,-59.42,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E9,390,ERBA,2011,081511_ERBA_T41_1,A,M,U,-58.23,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E9,289,ERBA,2011,090111_ERBA_T28_1,A,M,U,-56.92,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D6,367,ERBA,2011,081211_ERBA_T44_1,A,U,U,-56.12,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,C3,243,ERBA,2011,041711_ERBA_T24_1,U,U,U,-55.54,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E6,387,ERBA,2011,081711_ERBA_T20_1,A,F,U,-55.23,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,A19,319,ERBA,2010,092310_ERBA_T54_2,A,M,U,-53.06,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B11,331,ERBA,2009,081109_ERBA_T70_1,A,F,U,-51.88,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E4,385,ERBA,2011,071811_ERBA_T27_1,A,M,U,-51.64,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B4,324,ERBA,2010,082810_ERBA_T21_1,A,M,U,-50.1,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,-,-,,ERBA,2011,070711_ERBA_TALT2_1,A,M,U,-49.42,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A18,419,ERBA,2011,081911_ERBA_T45_1,A,M,U,-48.89,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A12,413,ERBA,2011,071511_ERBA_TALT2_1,A,M,U,-48.63,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B7,428,ERBA,2011,090411_ERBA_T42_1,A,M,U,-48.03,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B1,321,ERBA,2010,090110_ERBA_T57_2,A,M,U,-47.5,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B10,230,ERBA,2011,071011_ERBA_T26_1,A,M,U,-46.98,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A6,407,ERBA,2011,080211_ERBA_T44_1,A,M,U,-45.75,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D5,366,ERBA,2011,102511_ERBA_T33_1,A,M,U,-45.64,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E1,382,ERBA,2011,071411_ERBA_T21_1,A,M,U,-45.48,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D20,280,ERBA,2011,101111_ERBA_T88_1,A,M,U,-45.09,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,C2,242,ERBA,2011,052411_ERBA_T42_1,A,U,U,-44.77,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B10,330,ERBA,2009,072009_ERBA_T210_1,A,M,U,-44.1,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E16,397,ERBA,2011,082711_ERBA_T44_2(b),A,M,U,-44.08,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,-,-,,ERBA,2011,062811_ERBA_TALT1_2,A,M,U,-43.59,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E11,291,ERBA,2011,071111_ERBA_T28_1,A,M,U,-42.7,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D8,369,ERBA,2011,072211_ERBA_TALT2_1,A,M,U,-42.62,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E8,389,ERBA,2011,072011_ERBA_TALT2_2,A,M,U,-42.4,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E8,288,ERBA,2011,092811_ERBA_T216_1,A,M,U,-42.25,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A15,416,ERBA,2011,081911_ERBA_T22_1,A,M,U,-41.85,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,D9,470,ERBA,2011,101111_ERBA_T20_1,A,M,U,-41.73,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B9,329,ERBA,2009,071609_ERBA_T49_1,A,M,U,-41.01,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,B6,427,ERBA,2011,082711_ERBA_T46_1,A,M,U,-40.98,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B8,328,ERBA,2009,042609_ERBA_T81_1,U,U,U,-40.87,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A5,406,ERBA,2011,081111_ERBA_T45_1,A,M,U,-40.58,Pylant
WV DNR,Mt Storm,MTSTORM_WV,4,B2,322,ERBA,2010,091210_ERBA_T76_1,A,M,U,-39.77,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A14,415,ERBA,2011,081911_ERBA_T27_1,A,M,U,-39.6,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E18,399,ERBA,2011,080511_ERBA_T42_1,A,M,U,-39.45,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,D7,267,ERBA,2011,082711_ERBA_T41_1,A,M,U,-39.42,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D15,376,ERBA,2011,072211_ERBA_T45_2,A,M,U,-39.08,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,3,B19,239,ERBA,2011,062411_ERBA_T18_1,A,M,U,-39.02,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,E15,396,ERBA,2011,081211_ERBA_T45_2,A,M,U,-38.8,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,4,D20,381,ERBA,2011,071811_ERBA_T27_3,A,M,U,-38.75,Pylant
WEST,"Backbone Mountain, MD",BKBN_MD,5,A11,412,ERBA,2011,072911_ERBA_T44_1,A,M,U,-38.23,Pylant
WV DNR,Mt Storm,MTSTORM_WV,3,E17,297,ERBA,2010,091610_ERBA_T90_1,A,M,U,-37.88,Pylant
