AL CODE,Working_ID_Code,Spp,Sex,Age,RC,BatNotes,Collected_Date,Day,Month,Year,Migratory Status,Sampling Method,Source_sampling Agency,Source_name,Source_St,Authorship Considerations?,Verbatim Coords (N),Verbatim Coords (W),Coords_N,Coords_W,Source_County,Source_Region,Source Site,ADDRESS,Other_notes,Even more notes,Data source,Arrival Data / At AL?,Adequate Bat Info?,Adequate Date Info?,Adequate Location info,Hair? (Expected),Tissue? (Expected),In Cortney's Thesis?,In Cortney's Data Sheets?,Hair Sample Location,dD.Values,OurLabID,
2118,554360,LABO,F,,,,6/4/68,4,6,1968,Migrating,Turbine,,Cortney Pylant,MI,,-94.787,40.289,40.29,-94.79,Nodaway County,,"Maryville, 6 Mi SE",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-35.61,Other,
2119,202189,LABO,F,,,,6/4/13,4,6,1913,Migrating,Turbine,,Cortney Pylant,AL,,-87.357,33.458,33.46,-87.36,,,Squaw Shoals,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,6.59,Other,
2120,176511,LABO,M ,,,,6/9/11,9,6,1911,Migrating,Turbine,,Cortney Pylant,AL,,-85.25,31.572,31.57,-85.25,,,Abbeville,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-60.60,Other,
2121,347545,LABO,F,,,,6/9/70,9,6,1970,Migrating,Turbine,,Cortney Pylant,MS,,-89.995,31.87,31.87,-90.00,Simpson County,,"Pinola, 2 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-22.73,Other,
2122,347546,LABO,F,,,,6/9/70,9,6,1970,Migrating,Turbine,,Cortney Pylant,MS,,-89.995,31.87,31.87,-90.00,Simpson County,,"Pinola, 2 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-21.04,Other,
2123,347547,LABO,F,,,,6/9/70,9,6,1970,Migrating,Turbine,,Cortney Pylant,MS,,-89.995,31.87,31.87,-90.00,Simpson County,,"Pinola, 2 Mi W",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-20.07,Other,
2124,171424,LABO,F,,,,6/9/11,9,6,1911,Migrating,Turbine,,Cortney Pylant,AL,,-85.25,31.572,31.57,-85.25,,,Abbeville,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-11.71,Other,
2125,117376,LABO,M ,,,,6/11/02,11,6,1902,Migrating,Turbine,,Cortney Pylant,TX,,-94.345,32.757,32.76,-94.35,,,Jefferson,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-13.12,Other,
2126,201598,LABO,F,,,,6/12/13,12,6,1913,Migrating,Turbine,,Cortney Pylant,AL,,-86.089,34.022,34.02,-86.09,,,Attalla,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-18.63,Other,
2127,117375,LABO,M ,,,,6/12/02,12,6,1902,Migrating,Turbine,,Cortney Pylant,TX,,-94.345,32.757,32.76,-94.35,,,Jefferson,,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,N,Y,Y,Data Only,1,YES,YES,,-6.90,Other,
2128,273724,LABO,F,,,,6/14/38,14,6,1938,Migrating,Turbine,,Cortney Pylant,OK,,-98.677,34.708,34.71,-98.68,,,"Wichita Mountains Wildlife Refuge, 859 Ccc Camp",,dD values from Pylant 2014,,All_SmithLABOMain Spreadsheet (\flood),,Y,Y,Y,Data Only,1,YES,YES,,-32.49,Other,
