NEW_ID,SEX-AGE,DATE,day,month,year,TURBINE,STATE,COUNTY,LONGITUDE,LATITUDE,DD_FUR
1,ma,6/23/38,23,6,1938,0,CA,TULARE,-118.97,36.71,-96
2,fa,6/28/52,28,6,1952,0,CO,BOULDER,-105.26,40,-99
3,mj,6/28/52,28,6,1952,0,CO,BOULDER,-105.26,40,-101
4,fa,7/1/69,1,7,1969,0,IL,WINNEBAGO,-89.18,42.35,-100
5,fa,7/4/81,4,7,1981,0,WI,VERNON,-90.78,43.6,-99
6,fa,7/9/22,9,7,1922,0,MN,DOUGLAS,-95.45,45.93,-70
7,ma,7/9/01,9,7,2001,0,OR, ,-122.97,44.19,-94
8,ma,7/9/01,9,7,2001,0,WY, ,-106.27,41.57,-118
9,ma,7/9/80,9,7,1980,0,BAJA CALIFORNIA, ,-115.46,31.03,-102
10,ma,7/11/13,11,7,1913,0,CA,SONOMA,-122.99,38.5,-72
11,ma,7/11/37,11,7,1937,0,WA,COLUMBIA,-117.97,46.32,-102
12,ma,7/11/01,11,7,2001,0,MO,Lewis,-91.91,40.21,-88
13,fa,7/11/01,11,7,2001,0,ALBERTA, ,-110,50.96,-130
14,ma,7/12/35,12,7,1935,0,CA,DEL NORTE,-123.6,41.95,-91
15,ma,7/11/60,11,7,1960,0,NM,BERNALILLO,-106.38,35.07,-74
16,fa,7/12/81,12,7,1981,0,WI,SAUK,-89.95,43.45,-97
17,ma,7/12/01,12,7,2001,0,NM,Cibola,-107.66,35.24,-71
18,ma,7/12/02,12,7,2002,1,MN,Lincoln,-96.28,44.26,-91
19,fa,7/12/02,12,7,2002,1,MN,Lincoln,-96.28,44.26,-90
20,fa,7/13/01,13,7,2001,0,WY, ,-106.28,41.57,-101
21,fa,7/14/05,14,7,1905,0,ALBERTA, ,-114.08,51.08,-124
22,ma,7/13/44,13,7,1944,0,UT,SALT LAKE,-111.79,40.68,-101
23,fa,7/14/62,14,7,1962,0,LA,WEBSTER,-93.28,32.74,-65
24,fa,7/14/67,14,7,1967,0,IO,BOONE,-93.87,41.99,-66
25,ma,7/14/01,14,7,2001,0,MT, ,-108.42,45,-80
26,ma,7/15/68,15,7,1968,0,IN,FRANKLIN,-85.13,39.44,-84
27,fj,7/16/01,16,7,2001,0,MO,Lewis,-91.91,40.21,-85
28,fj,7/16/01,16,7,2001,0,VT,Addison,-73.11,44.05,-84
29,fa,7/17/70,17,7,1970,0,MT,CARTER,-104.19,45.65,-103
30,ma,7/17/70,17,7,1970,0,MT,CARTER,-104.19,45.65,-113
31,fa,7/17/70,17,7,1970,0,MT,CARTER,-104.19,45.65,-121
32,fa,7/17/71,17,7,1971,0,MT,CARTER,-104.74,45.66,-104
33,ma,7/17/01,17,7,2001,0,NM,Grant,-107.98,33.04,-111
34,fa,7/18/60,18,7,1960,0,IN,ST. JOSEPH,-86.25,41.68,-71
35,fa,7/18/62,18,7,1962,0,AR,BRADLEY,-92.17,33.44,-65
36,fa,7/18/63,18,7,1963,0,IN,ST. JOSEPH,-86.25,41.68,-71
37,fa,7/18/94,18,7,1994,0,MN,COTTONWOOD,-95.04,43.88,-91
38,mj,7/18/01,18,7,2001,0,SD,Meade,-103.43,44.17,-102
39,fj,7/18/01,18,7,2001,0,SD,Meade,-103.43,44.17,-105
40,fa,7/18/52,18,7,1952,0,IN,JACKSON,-86.12,38.97,-68
41,ma,7/19/62,19,7,1962,0,IN,HOWARD,-86.27,40.41,-65
42,fa,7/19/67,19,7,1967,0,PA,WAYNE,-75.33,41.63,-76
43,ma,7/19/01,19,7,2001,0,OR, ,-119.77,43.35,-88
44,ma,7/19/68,19,7,1968,0,PA,WAYNE,-75.33,41.63,-67
45,ma,7/20/70,20,7,1970,0,MT,CARTER,-104.19,45.65,-112
46,fj,7/21/02,21,7,2002,0,SD,Custer,-103.83,43.71,-104
47,fa,7/21/02,21,7,2002,0,SD,Custer,-103.83,43.71,-80
48,fa,7/22/15,22,7,1915,0,ND,WALSH,-97.41,48.41,-80
49,fj,7/22/01,22,7,2001,0,ALBERTA, ,-109.98,50.9,-129
50,fa,7/22/02,22,7,2002,1,TN,Anderson,-84.33,36.12,-81
51,mj,7/22/02,22,7,2002,1,TN,Anderson,-84.33,36.12,-57
52,fa,7/22/12,22,7,1912,0,ND,RICHLAND,-96.9,46.06,-97
53,ma,7/23/23,23,7,1923,0,CA,MARIPOSA,-120.11,37.74,-78
54,ma,7/22/60,22,7,1960,0,CO,ARCHULETA,-107.31,37.16,-84
55,ma,7/23/79,23,7,1979,0,NV,NYE,-117.28,38.84,-70
56,mj,7/23/02,23,7,2002,1,MN,Lincoln,-96.28,44.26,-78
57,fa,7/24/34,24,7,1934,0,MN,HENNEPIN,-93.21,44.87,-92
58,fa,7/24/39,24,7,1939,0,IL,WILLIAMSON,-88.92,37.82,-69
59,fa,7/24/53,24,7,1953,0,NE,SIOUX,-103.76,42.46,-89
60,ma,7/24/01,24,7,2001,0,NV,White Pine,-114.18,39.25,-66
61,fa,7/26/65,26,7,1965,0,ONTARIO, ,-83.56,46.83,-80
62,fa,7/26/65,26,7,1965,0,SD,BON HOMME,-97.82,42.87,-91
63,fa,7/25/68,25,7,1968,0,SD,CUSTER,-103.45,43.58,-87
64,ma,7/26/01,26,7,2001,0,PA,Forest,-79.5,41.5,-69
65,uj,7/26/02,26,7,2002,1,MN,Lincoln,-96.28,44.26,-82
66,mj,7/27/02,27,7,2002,1,CO,Weld,-104.83,40.99,-87
67,fa,7/27/60,27,7,1960,0,MT,FERGUS,-109.23,47.22,-109
68,ma,7/27/00,27,7,2000,1,CO,Weld,-104.83,40.99,-84
69,mj,7/29/02,29,7,2002,1,MN,Lincoln,-96.28,44.26,-68
70,fj,7/29/02,29,7,2002,1,MN,Lincoln,-96.28,44.26,-81
71,fj,7/29/02,29,7,2002,1,MN,Lincoln,-96.28,44.26,-85
72,fa,7/30/61,30,7,1961,0,NY,TOMPKINS,-76.49,42.31,-66
73,fa,7/30/67,30,7,1967,0,MN,COOK,-90.55,47.91,-68
74,fa,7/29/68,29,7,1968,0,SD,PENNINGTON,-104,43.94,-97
75,fa,7/30/70,30,7,1970,0,NE,SIOUX,-103.88,42.84,-125
76,ma,7/30/70,30,7,1970,0,NE,SIOUX,-103.88,42.84,-105
77,fa,7/29/80,29,7,1980,0,WI,SAUK,-89.83,43.56,-85
78,ma,7/30/01,30,7,2001,0,WY, ,-106.28,41.57,-101
79,ma,7/31/17,31,7,1917,0,CA,MODOC,-120.33,41.87,-74
80,ma,7/31/58,31,7,1958,0,CO,MONTROSE,-107.7,38.54,-92
81,fa,7/31/02,31,7,2002,1,TN,Anderson,-84.33,36.12,-55
82,fa,7/31/88,31,7,1988,0,MN,CLAY,-96.46,46.86,-87
83,fa,8/1/01,1,8,2001,0,WY, ,-106.27,41.57,-94
84,ma,8/1/02,1,8,2002,1,MN,Lincoln,-96.28,44.26,-81
85,ma,8/1/64,1,8,1964,0,NUEVO LEON, ,-99.92,24.1,-55
86,ma,8/2/97,2,8,1997,0,NM,RIO ARRIBA,-106.72,36.59,-79
87,mj,8/2/01,2,8,2001,0,SASKATCHEWAN,Cypress Hills,-110.91,49.5,-119
88,fa,8/2/01,2,8,2001,0,SASKATCHEWAN,Cypress Hills,-110.91,49.5,-133
89,fj,8/2/01,2,8,2001,0,SASKATCHEWAN,Cypress Hills,-110.91,49.5,-118
90,fj,8/3/01,3,8,2001,0,ALBERTA, ,-110.03,50.89,-119
91,fa,8/6/17,6,8,1917,0,WI,OCONTO,-88.22,45.02,-68
92,ma,8/8/01,8,8,2001,0,SD,Lawrence,-103.63,44.41,-82
93,fj,8/9/61,9,8,1961,0,NM,BERNALILLO,-106.61,35.08,-93
94,fa,8/9/01,9,8,2001,0,PA,Blair,-78.21,40.55,-80
95,ma,8/9/01,9,8,2001,0,PA,Blair,-78.21,40.55,-70
96,mj,8/9/01,9,8,2001,0,ALBERTA, ,-110.18,50.64,-130
97,fa,8/9/60,9,8,1960,0,IN,VERMILLION,-87.39,39.78,-63
98,fa,8/13/62,13,8,1962,0,NM,HIDALGO,-108.87,31.53,-84
99,ma,8/13/62,13,8,1962,0,NM,HIDALGO,-108.87,31.53,-75
100,fa,8/13/01,13,8,2001,0,WY,Washakie,-107.19,44.03,-113
101,ma,8/13/01,13,8,2001,0,WY,Washakie,-107.19,44.03,-98
102,ma,8/13/02,13,8,2002,1,MN,Lincoln,-96.28,44.26,-86
103,mj,8/15/01,15,8,2001,0,SASKATCHEWAN,Cypress Hills,-110.91,49.5,-116
104,ma,8/15/01,15,8,2001,1,CO,Weld,-104.82,40.97,-74
105,fa,8/15/02,15,8,2002,1,MN,Lincoln,-96.28,44.26,-105
106,fa,8/15/02,15,8,2002,1,MN,Lincoln,-96.28,44.26,-99
107,ma,8/15/02,15,8,2002,1,MN,Lincoln,-96.28,44.26,-67
108,fa,8/16/19,16,8,1919,0,MO,SALINE,-93.19,39.12,-73
109,ma,8/16/42,16,8,1942,0,BRITISH COLUMBIA, ,-122.3,49.05,-103
110,fa,8/16/01,16,8,2001,1,CO,Weld,-104.82,40.97,-111
111,ma,8/16/12,16,8,1912,0,NE,THOMAS,-100.26,41.9,-93
112,ma,8/17/39,17,8,1939,0,KS,MEADE,-100.33,37.28,-83
113,fa,8/18/39,18,8,1939,0,KS,MEADE,-100.33,37.28,-82
114,fa,8/19/40,19,8,1940,0,OR,CLATSOP,-123.87,46.13,-90
115,fa,8/19/40,19,8,1940,0,OR,WHEELER,-120.33,44.43,-106
116,mj,8/21/01,21,8,2001,1,CO,Weld,-104.82,40.97,-94
117,ma,8/22/02,22,8,2002,0,NM,Otero,-105.66,32.75,-68
118,ma,1/1/48,1,1,1948,0,WA,SNOHOMISH,-122.3,47.94,-134
119,fa,1/4/91,4,1,1991,0,CA,SAN MATEO,-122.25,37.43,-59
120,fa,1/14/76,14,1,1976,0,CA,LOS ANGELES,-118.03,34.13,-88
121,ma,1/14/18,14,1,1918,0,SC,CHARLESTON,-79.86,32.79,-80
122,ma,1/15/12,15,1,1912,0,AL,AUTAUGA,-86.65,32.43,-82
123,fa,1/15/72,15,1,1972,0,CA,SANTA BARBARA,-119.69,34.42,-93
124,ma,1/21/36,21,1,1936,0,LA,NATCHITOCHES,-93.28,31.56,-92
125,ma,1/24/1897,24,1,1897,0,GA,CHATHAM,-81.12,31.94,-80
126,fa,1/29/88,29,1,1988,0,NC,WAKE,-78.51,35.97,-88
127,ma,1/30/67,30,1,1967,0,CA,SANTA BARBARA,-119.69,34.42,-76
128,ma,1/31/63,31,1,1963,0,NC,ROBESON,-79,34.46,-80
129,fa,1/31/63,31,1,1963,0,NC,ROBESON,-79.04,34.4,-78
130,ma,2/1/88,1,2,1988,0,VA,FAIRFAX,-77.3,38.83,-71
131,fa,2/1/1889,1,2,1889,0,CA,MARIN,-122.69,38.06,-81
132,fa,2/5/06,5,2,1906,0,CA,LOS ANGELES,-118.14,34.14,-79
133,ma,2/8/59,8,2,1959,0,LA,VERMILION,-92.1,29.69,-71
134,fa,2/9/66,9,2,1966,0,CA,SANTA BARBARA,-119.69,34.42,-83
135,ma,2/13/38,13,2,1938,0,GA,GRADY,-84.23,30.86,-69
136,fa,2/16/38,16,2,1938,0,CA,ALAMEDA,-122.27,37.87,-84
137,fa,2/16/94,16,2,1994,0,NC,WAKE,-78.63,35.77,-81
138,fa,2/23/91,23,2,1991,0,CA,SAN MATEO,-122.23,37.48,-67
139,ma,2/25/64,25,2,1964,0,CA,SANTA BARBARA,-119.63,34.43,-133
140,ma,3/3/73,3,3,1973,0,CA,SANTA BARBARA,-119.63,34.43,-145
141,ma,3/4/63,4,3,1963,0,NC,ROBESON,-79.04,34.4,-71
142,fa,3/6/68,6,3,1968,0,CA,SANTA BARBARA,-119.69,34.42,-84
143,fa,3/9/52,9,3,1952,0,MICHOACAN, ,-102.25,19.46,-85
144,fa,3/17/59,17,3,1959,0,LA,WASHINGTON,-89.82,30.89,-73
145,ma,3/21/69,21,3,1969,0,FL,LEON,-84.28,30.43,-81
146,ma,3/21/75,21,3,1975,0,NAYARIT, ,-104.46,21.26,-83
147,fa,3/22/75,22,3,1975,0,NAYARIT, ,-104.46,21.26,-79
148,fa,3/22/66,22,3,1966,0,NC,WAKE,-78.69,35.79,-77
149,fa,3/24/63,24,3,1963,0,CHIHUAHUA, ,-106.38,29.45,-47
150,fa,3/26/53,26,3,1953,0,KS,CHEYENNE,-101.91,39.94,-83
151,fa,3/29/52,29,3,1952,0,COAHUILA, ,-101.63,27.55,-43
152,fa,3/30/90,30,3,1990,0,TX,TOM GREEN,-100.3,31.37,-80
153,fa,3/31/65,31,3,1965,0,JALISCO, ,-104.78,20.51,-67
154,ma,3/31/58,31,3,1958,0,NC,NEW HANOVER,-77.86,34.25,-94
155,fa,4/4/19,4,4,1919,0,CA,LOS ANGELES,-117.88,34.09,-101
156,fa,4/4/80,4,4,1980,0,BAJA CALIFORNIA SUR, ,-111.75,26.25,-69
157,ma,4/5/82,5,4,1982,0,CA,YOLO,-121.96,38.52,-105
158,ma,4/14/63,14,4,1963,0,GUERRERO, ,-99.66,17.5,-77
159,fa,4/14/61,14,4,1961,0,NM,CATRON,-108.1,33.33,-127
160,fa,4/14/60,14,4,1960,0,NM,BERNALILLO,-106.61,35.18,-74
161,ma,4/17/25,17,4,1925,0,BAJA CALIFORNIA, ,-115.76,30.86,-84
162,fa,4/18/55,18,4,1955,0,IN,WAYNE,-84.94,39.9,-66
163,ma,4/19/63,19,4,1963,0,GUERRERO, ,-99.66,17.5,-63
164,fa,4/25/15,25,4,1915,0,AZ,COCHISE,-109.35,32,-70
165,fa,4/29/60,29,4,1960,0,TN,RHEA,-85.26,35.49,-111
166,fa,5/1/58,1,5,1958,0,UT,TOOELE,-112.74,40.53,-103
167,fa,5/2/41,2,5,1941,0,GUERRERO, ,-99.5,17.55,-107
168,fa,5/2/36,2,5,1936,0,IN,MONROE,-86.52,39.16,-140
169,fa,5/8/02,8,5,2002,0,NM,Bernalillo,-106.31,35.2,-73
170,fa,5/8/02,8,5,2002,0,NM,Bernalillo,-106.31,35.2,-81
171,fa,5/8/99,8,5,1999,0,TX,VAL VERDE,-100.98,29.89,-99
172,fa,5/9/02,9,5,2002,0,NM,Bernalillo,-106.31,35.2,-78
173,fa,5/9/02,9,5,2002,0,NM,Bernalillo,-106.31,35.2,-80
174,fa,5/9/02,9,5,2002,0,NM,Bernalillo,-106.31,35.2,-108
175,fa,5/10/02,10,5,2002,0,NM,Bernalillo,-106.31,35.2,-75
176,fa,5/10/02,10,5,2002,0,NM,Bernalillo,-106.31,35.2,-95
177,fa,5/10/02,10,5,2002,0,NM,Bernalillo,-106.31,35.2,-95
178,ma,5/10/02,10,5,2002,0,NM,Bernalillo,-106.31,35.2,-73
179,fa,5/11/02,11,5,2002,0,NM,Bernalillo,-106.31,35.2,-120
180,fa,5/11/02,11,5,2002,0,NM,Bernalillo,-106.31,35.2,-72
181,fa,5/11/02,11,5,2002,0,NM,Bernalillo,-106.31,35.2,-81
182,fa,5/12/02,12,5,2002,0,NM,Bernalillo,-106.31,35.2,-69
183,fa,5/12/02,12,5,2002,0,NM,Bernalillo,-106.31,35.2,-85
184,fa,5/12/02,12,5,2002,0,NM,Bernalillo,-106.31,35.2,-63
