"ID","Species","metersLongitude","metersLatitude","decimalLatitude","decimalLongitude","source_ID","Sex","Age","Day","Month","Year","sampling_method","uncertainty","Sourcefile","yDay","wind_killed","d2H"
"X1","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald1","F","A",12,9,2006,"TURBINE_CARCASS",NA,"Baerwald",255,"yes",-169.25748348277
"X2","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald10","F","A",13,9,2006,"TURBINE_CARCASS",NA,"Baerwald",256,"yes",-111.607078683549
"X3","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald100","M","J",9,9,2006,"TURBINE_CARCASS",NA,"Baerwald",252,"yes",-120.654491983123
"X4","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald101","M","J",1,9,2007,"TURBINE_CARCASS",NA,"Baerwald",244,"yes",-120.106880209848
"X5","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald102","M","J",31,8,2007,"TURBINE_CARCASS",NA,"Baerwald",243,"yes",-120.001516092104
"X6","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald103","M","J",17,8,2006,"TURBINE_CARCASS",NA,"Baerwald",229,"yes",-110.7076845939
"X7","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald104","M","J",3,9,2007,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-105.443730464735
"X8","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald105","M","J",29,8,2007,"TURBINE_CARCASS",NA,"Baerwald",241,"yes",-103.996053316814
"X9","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald106","M","J",3,9,2007,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-101.803880914146
"X10","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald107","M","J",22,8,2007,"TURBINE_CARCASS",NA,"Baerwald",234,"yes",-101.17834098484
"X11","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald108","M","J",20,8,2006,"TURBINE_CARCASS",NA,"Baerwald",232,"yes",-99.8042499134243
"X12","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald109","M","J",30,8,2006,"TURBINE_CARCASS",NA,"Baerwald",242,"yes",-98.4039843249782
"X13","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald11","F","A",23,8,2007,"TURBINE_CARCASS",NA,"Baerwald",235,"yes",-109.254610097233
"X14","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald110","M","J",31,8,2007,"TURBINE_CARCASS",NA,"Baerwald",243,"yes",-96.9978834810105
"X15","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald111","M","J",29,8,2006,"TURBINE_CARCASS",NA,"Baerwald",241,"yes",-94.8647343359101
"X16","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald112","M","J",17,8,2006,"TURBINE_CARCASS",NA,"Baerwald",229,"yes",-93.3436672718684
"X17","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald113","M","J",30,8,2007,"TURBINE_CARCASS",NA,"Baerwald",242,"yes",-92.9945173914716
"X18","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald114","M","J",1,9,2007,"TURBINE_CARCASS",NA,"Baerwald",244,"yes",-92.5978318678736
"X19","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald115","M","J",13,8,2006,"TURBINE_CARCASS",NA,"Baerwald",225,"yes",-91.744204107627
"X20","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald116","M","J",12,8,2007,"TURBINE_CARCASS",NA,"Baerwald",224,"yes",-90.6603288216957
"X21","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald117","M","J",14,8,2006,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-90.5234626951876
"X22","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald118","M","J",3,9,2007,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-89.3641007375613
"X23","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald119","M","J",27,8,2006,"TURBINE_CARCASS",NA,"Baerwald",239,"yes",-61.4500836975154
"X24","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald12","F","A",14,8,2006,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-108.100735280316
"X25","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald120","F","A",30,8,2007,"TURBINE_CARCASS",NA,"Baerwald",242,"yes",-105.250189524462
"X26","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald121","F","A",17,8,2006,"TURBINE_CARCASS",NA,"Baerwald",229,"yes",-104.838116720215
"X27","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald122","F","A",15,8,2006,"TURBINE_CARCASS",NA,"Baerwald",227,"yes",-104.402853028614
"X28","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald123","F","A",18,8,2007,"TURBINE_CARCASS",NA,"Baerwald",230,"yes",-102.122012147362
"X29","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald124","F","A",6,8,2007,"TURBINE_CARCASS",NA,"Baerwald",218,"yes",-101.777934363251
"X30","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald125","F","A",22,8,2006,"TURBINE_CARCASS",NA,"Baerwald",234,"yes",-101.615646093305
"X31","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald126","F","A",15,8,2006,"TURBINE_CARCASS",NA,"Baerwald",227,"yes",-99.532745980858
"X32","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald127","F","A",6,7,2006,"TURBINE_CARCASS",NA,"Baerwald",187,"yes",-99.2453599244896
"X33","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald128","F","A",2,8,2006,"TURBINE_CARCASS",NA,"Baerwald",214,"yes",-97.5244792757033
"X34","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald129","F","A",11,8,2007,"TURBINE_CARCASS",NA,"Baerwald",223,"yes",-97.4857181561209
"X35","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald13","F","A",3,9,2006,"TURBINE_CARCASS",NA,"Baerwald",246,"yes",-99.759137354914
"X36","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald130","F","A",5,8,2006,"TURBINE_CARCASS",NA,"Baerwald",217,"yes",-95.560159391572
"X37","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald131","F","A",3,8,2007,"TURBINE_CARCASS",NA,"Baerwald",215,"yes",-91.8823253551423
"X38","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald132","F","A",27,7,2006,"TURBINE_CARCASS",NA,"Baerwald",208,"yes",-91.4110331554112
"X39","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald133","F","A",3,8,2006,"TURBINE_CARCASS",NA,"Baerwald",215,"yes",-89.9887278925052
"X40","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald134","F","A",14,8,2006,"TURBINE_CARCASS",NA,"Baerwald",226,"yes",-88.2791020921455
"X41","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald135","F","A",6,8,2006,"TURBINE_CARCASS",NA,"Baerwald",218,"yes",-84.5453874561602
"X42","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald136","F","A",28,7,2006,"TURBINE_CARCASS",NA,"Baerwald",209,"yes",-83.8633937991598
"X43","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald137","F","A",4,8,2006,"TURBINE_CARCASS",NA,"Baerwald",216,"yes",-81.973796022371
"X44","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald138","F","A",7,8,2006,"TURBINE_CARCASS",NA,"Baerwald",219,"yes",-75.2786896580969
"X45","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald139","F","A",12,8,2007,"TURBINE_CARCASS",NA,"Baerwald",224,"yes",-72.6803326613158
"X46","LANO",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald14","F","A",22,8,2007,"TURBINE_CARCASS",NA,"Baerwald",234,"yes",-99.155570775318
"X47","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald140","F","A",2,8,2007,"TURBINE_CARCASS",NA,"Baerwald",214,"yes",-67.3740129476163
"X48","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald141","F","A",8,8,2006,"TURBINE_CARCASS",NA,"Baerwald",220,"yes",-66.636052926553
"X49","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald142","F","A",22,8,2006,"TURBINE_CARCASS",NA,"Baerwald",234,"yes",-64.7165536098255
"X50","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald143","F","A",5,8,2006,"TURBINE_CARCASS",NA,"Baerwald",217,"yes",-64.5614007646614
"X51","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald144","F","A",29,7,2006,"TURBINE_CARCASS",NA,"Baerwald",210,"yes",-63.7117111042358
"X52","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald145","F","A",23,8,2007,"TURBINE_CARCASS",NA,"Baerwald",235,"yes",-63.4812272036681
"X53","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald146","F","A",17,8,2007,"TURBINE_CARCASS",NA,"Baerwald",229,"yes",-63.069184274575
"X54","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald147","F","A",5,8,2006,"TURBINE_CARCASS",NA,"Baerwald",217,"yes",-62.5890115704576
"X55","LACI",-1222874.75570142,1243874.67701861,49.5536552,-113.9636443,"Baerwald148","F","A",3,8,2006,"TURBINE_CARCASS",NA,"Baerwald",215,"yes",-61.3680283155206
